Job Role,Job description,Required skills,Years of experience required,Company name,Location,Date posted
Data Analyst,"Develop diagnostic reporting to highlight data quality issues in student record system.
Work with others in the team to support the development and…","Client anticipates utilizing a hybrid project management methodology incorporating both Waterfall and Agile/Scrum to organize cross-functional teams. Primary Responsibilities:  • Work closely and collaboratively with Program/Project Managers and Technical Leads to ensure mutual understanding of project goals and priorities• Facilitate discussions and decisions with business owners and technical team members to:o Conduct due diligence reviews and business analysis for complex decisions related to business processes, data cleansing, and data conversion effortso Clearly communicate complex technical design and solutions in business terms o Obtain consensus on solutionso Develop Use Cases that represent the scope of business needs• Document – and drive review and approval of – complex business processes• Assist in defining configuration specifications• Lead Quality Assurance effort, including developing testing methodology and test cases for the various stages of the data lake implementation• Constantly seek and communicate ways to improve monitoring, issue discovery, and delivering better value to the customer• Assist in managing activities of consultants/vendors associated with project efforts• Facilitate project logistics such as meeting planning (scheduling and agendas), conference rooms, conference calls, etc.• Document meeting discussions/decisions and action items; drive follow-up to ensure action item management and completion• Assist in creation and maintenance of project artifacts; such as project plans, project status reports, etc.",2 years,Birmingham City University,Hybrid remote in Birmingham,2 weeks ago
Project Manager,"You will have a proven track record in project risk management, importantly identifying potential risks and managing these throughout the duration of each…","Must have experience supporting Microsoft based server installations·       Must have experience working with Microsoft Release Management server product (formally InCycle)·       Strong experience writing and debugging Microsoft PowerShell and other scripting technologies·       Knowledge of analysis, design and configuration of complex multi-tiered server applications ·       Familiarity with SDLC, Quality Standards, and Best Practices ·       Effective organizational, problem solving and project management abilities Desirable Qualifications:·       Experience with Team Foundation Services Online (Visual Studio Online)·       Experience with build and deployment automation·       Experience with automated testing tools and testing procedures",5+ years,University of Wolverhampton,Wolverhampton,3 weeks ago
Service Desk Analyst,"LastPass or similar password management software.
Jamf Now (or similar remote device management software).
As well as managing our internal hardware, youll look…","Help identify coding patterns and anti-patterns and enforce implementation of the patterns through code reviews. * Builds a strong team using collaboration skills. * Communicates with different people in many situations. * Promotes improvements in version control, continuous integration, project build, and project automation. * Test-drives clean, quality code, working closely with other Agile team members. * Takes ownership of tasks when others do not. Helps drive the completion of all kinds of work tasks. * Helps break down, estimate, and provide just-in-time design for small increments of work. * Performs root cause analysis, technology evaluation, and design spikes. * Continuously learns, and is unafraid to learn new practices, processes, technologies, and languages. * Stays abreast of industry trends, technology trends, language trends, process trends. * Commits to completing well-defined work, and delivers on those commitments. * Participates in and may lead sprint review demonstrations. * Consistently follows software development methodology",2 years,Space 48 Ltd,Remote,1 week ago
Project & PMO Manager,"Tracking the progress of each project.
Degree educated or equivalent preferred.
Calculating the monetary risk for each project.
Who we’re looking for.","Strong capability to work across multiple teams to deliver value to our business partners.  The Senior Java Architect is responsible for but not limited to: • Act as technical lead for medium to large projects• Drive the design of solutions for the Extracare Loyalty program business that are scalable, maintainable, and reliable. Apply understanding of IT Standards and Design considerations for high volume online (OLTP) and batch transaction systems.• Proactively identify and evaluate emerging technologies and tools• Work with other senior Java software engineers to create the high-level J2EE software designs and technical specs• Evaluate package solutions and participate in selection of solutions to meet business needs and architecture standards• Participate in peer reviews on specifications, design and code• Work with development teams to resolve development and implementation issues• Work closely with the Extracare business team and Business Analysts to ensure that requirements are fully understood and documented in order to deliver quality design deliverables• Work closely with QA and Operations to ensure smooth QA and deployment of applications• Work with project teams to plan integration and implementation strategies",2 years,WHSmith,Greater London,6 days ago
Data Manager,"We are seeking to appoint a Data Manager to work closely with our team, to support the SLT and teaching staff with data management across the school.","The position will provide both in person and remote support on location at a leading technology company! Must have PC and Mac experience.  POSITION PROFILEThe Engineer provides advanced technical expertise in the Desktop Support area and is responsible for the daily site-specific network, workstation operating systems, workstation connectivity, workstation, peripheral hardware, and end-user applications. This position responds to Associate Technical Manager escalated support requests or management support requests and needs, with the primary focus being customer service and the ability to help, regardless of whether the problem is technical, user error, or training. The Engineer is responsible for following all Help Desk Standard Operating Procedures that pertain to the particular client site they are supporting.JOB DUTIES AND RESPONSIBILITIESThe Engineer is responsible for providing Tier 1-3 level IT Support. Assists in resolving user problems by providing support in-person, over the phone, or through email.Daily support of site-specific network and workstation operating systems, workstation connectivity, workstation and peripheral hardware, and end-user applications.Diagnoses complex system hardware, software and operator problems and recommends or performs any remedial actions necessary to correct problems based on knowledge of system operations.Participates in special projects as assigned by the supervisor.The Engineer should always Listen, Understand, Communicate, and then Deliver Support to the end user.Continuously informs the end user on the progress of the resolution.When instructed by IT or the Help Desk Manager, the Engineer keeps end users informed of any major problems or scheduled down times as he/she provides support.Test new or enhanced applications including systems enhancements and provides feedback to the Associate Technical Manager as well as the Client Site Manager of User Support.Provides end users with detailed remote access knowledge, and documents complete trouble shooting information.The Engineer is responsible for thoroughly documenting all relevant information to the support request ticket in the Help Desk Database upon closure of the ticket, or upon escalation of the support request to a Senior Engineer (Level 4)QUALIFICATIONS (Education, Experience, and Certifications)Typically Required:High School DiplomaSecondary School Degree PreferredTechnical Training & Certifications a plus (i.e.: ACSP, MCSE, MCSA, A+, NETWORK +, MCP)Three years of Desktop or Help Desk support experience required (application & hardware support)Windows and Apple support experience Demonstrate professional verbal and written communication across all levels of businessExceptional Customer Service skills required",2 years,The Beaulieu Park School,Chelmsford CM1,1 week ago
Developments and Costing Data Analyst,"They will ensure that the required data and information flows, continue to remain robust and fit for purpose.
This is an exciting opportunity for a Costing Data…","In this dynamic role, you will be responsible for two specific functions.  Salary for this role is in the dependent on experience. One function is the design, development, and maintenance of all new and existing EDI maps.  The second function is the configuration and maintenance of all new and existing eStores.EDI Responsibilities:Review requests from potential EDI Customers & Vendors. Send a Questionnaire to determine if they are EDI capable. Create Trading Partners, Map Requirements and other Controls within our legacy EDI Software. Work closely with our VAN to establish interconnects between our client and EDI Trading Partners. Test all new EDI Trading Partner Relationships & Transactions in a timely manner. Provide support to all EDI production processes and maintain all EDI Data Maps. Monitor and troubleshoot daily and weekly, Inbound & Outbound EDI Files and Transmissions. ",2 years,Guy's and St Thomas' NHS Foundation Trust,Hybrid remote in London SE1,3 weeks ago
Analyst,"You would be joining their expert team of consultants and analysts who support organisations with the collection, analysis, modelling, and interpretation of…","System Engineer with VMWare and EMC Market leading consultancy partner requires 2 x Systems Engineers with VMWare and EMC expertise for long term contract engagement in Cambridge, MA. To be considered you will have at least 5 years’ experience with VMWare virtualization, excellent VMWare and vSphere design, integration and deployment expertise and previous knowledge of leading system integration projects. You will be familiar with the following technologies;VMWare ESXI VDI Cluster, V6.0EMC VNX2 5400, EMC ISILON x400/410 s200/s210 and NL410 nodesWSUS/SCCMActive Directory Office 365 user security group distribution group creationEMC ISilion, SAN or NetApp storage administration and operation experience.CommVault, VEEAM integration and administration experience.Windows and Linux server administrationThe role will see you involved in the day to day operations with a particular focus on VMWare, EMC and Windows expertise.",2 years,Datasource,Remote,4 weeks ago
Project Manager,"Responsible for the financial implications of projects and programs.
Leading and managing the end-to-end process of a project/program.","Provide technical, test and project leadership and mentoring to a team of onshore and offshore software test engineers and test automation engineers. * Responsible for leading the end to end QA effort for large software platforms, services and products to ensure appropriate test coverage. * Will maintain, create and implement quality assurance processes, metrics and tools. * Will provide leadership with planning, estimating, scheduling, resources, deploying, and managing the testing effort for any given engagement/release. * Will work with cross-functional teams (product management, engineering, business analysts) to define, refine and execute software testing to ensure delivery of high quality product components. * Ensure effective collaboration between QA and other teams on the project * Work closely with the teams and QA personal to create effective Test Cases * Ensure that all areas of testing (e.g., system, functional, scalability, performance, reliability and regression) are successfully completed and documented and all problems are resolved.",2 years,On Track Recruitment,Remote in Alton,3 weeks ago
entry level/junior project manager to join our team,"As part of the project management team, you will deliver strategy, design, digital and interactive projects on time and on budget whilst exceeding our customers…","Knowledge of Selenium, Agile and Java ShopConsulting Experience- Analyze and provide feedbackKnowledge of software QA processes, methodologies, and statistical analysis are a must.Ability to read and analyze functional specifications is a must.In depth knowledge of some, but not all performance tools; Mercury Quick Test Pro, Mercury Winrunner, and Mercury LoadRunner, JMeter, SoapUI.In depth knowledge of IE Dev Tools, SQL Server Mgmt, SQL Developer, Eclipse, vSphere client server application.Working knowledge of some, but not all languages; VB, SQL, Python, Groovy, Java, JavaScript, HTML, etc.Working knowledge of Agile application, Confluence, Jira.Strong written and communication skills in an Agile environment.Strong problem solving skills, and the ability to effectively communicate internally and externally.Ability to perform tests against Web applications, front-end UI as well as back-end Databases, Application Servers, and Services.Understanding of most concepts, practices, and procedures within a Banking environment.Working knowledge of multiple operating systems (Unix and/or Windows based).Ability to write SQL queries and analyze databases (Oracle, MSSQL)",1 year,Spinning Clock,Nottingham,1 week ago
Data Manager,"Whether city life or rural living, Cardiff and the Vale offers the best of both worlds.
The SWBMT Programme Director is assisted by directors of the clinical,…","Codes, tests, debugs, implements, and documents moderately complex programs. Creates appropriate documentation in work assignments such as program code, and technical documentation. Designs systems and programs to meet complex business needs. Prepares detailed specifications from which programs are developed and coded. Ensures programs meet standards and technical specifications; performs technical analysis and component delivery. Gathers information from existing systems, analyzes program and time requirements. Assists project manager in preparing time estimates and justification for assigned tasks. Designs programs for projects or enhancements to existing programs. Writes specifications for programs of low to moderate complexity. Assists support and/or project personnel in resolving moderately complex program problems. Works with client and management to resolve issues and validate programming requirements within their areas of responsibility. Provides technical advice on complex programming. Develops test plans to verify logic of new or modified programs. Conducts quality assurance activities such as peer reviews. Creates appropriate documentation in work assignments such as program code, and technical documentation. Remains abreast of industry technical trends and new development to maintain current skills and remain current with industry standards.",2 years,Cardiff and Vale University Health Board,Cardiff CF14,2 weeks ago
Data Analyst (High Needs Block),"You will have HNC or NVQ Level 4 qualifications in statistical analysis or information management, or relevant experience.
Temporary/fixed term - 2 years.","Our client is seeking a Sr Project Manager for a PERM role. ***U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. We are unable to sponsor at this time.*** Required Skills:Manages several projects of moderate to large scope and complexity, potentially a very large project, or multiple smaller projects simultaneously.Establishes, tracks and controls project scope, schedule, cost, and risk to deliver assigned projects within the approved targets.Plans, schedules and executes all phases of assigned projects in accordance with project management processes, policies, guidelines and corporate governance.Develops detailed project plans in accordance with project objectives and ensures project scope, team responsibilities, milestone dates and the procurement strategy are clearly stated for all assigned projects.Provides project progress reports to management and other stakeholders (including interdepartmental communication) in accordance with an approved communication plan.Provides accurate project forecasts for schedule and cost over the life of the project.Negotiates with vendors and contractors regarding work scope changes to ensure that all contract commitments are completed on time per the scope of work and technical specifications.Communicates with appropriate management levels - including senior management - to gain necessary approvals and manage risk in accordance with corporate governance.Provides performance feedback to administrative managers of project team members in support of the performance management lifecycle.Must Have: 7+ years of experience as a Project Manager including proven leadership capabilities combined with technical proficiency in one or more IT disciplines or relevant business experience combined with a strong technical acumen.Bachelor’s degree preferred or equivalent work experience.Experience with MS Project and Microsoft Office.Demonstrates effective leadership skills and continually leads by example.Excellent communication, interpersonal and influencing skills are essential.Actively supports and incorporates company mission and core values. Please e-mail your resume to mail@grgc.com",3 years,Wiltshire Council,Trowbridge,2 weeks ago
Band 8b Sub National Secure Data Environment Programme Manager,"Educated to Masters level or equivalent.
The post holder will have previous line management experience and a track record of successfully managing and…","Responsible for supporting all data and voice communications systems for our client.  The Network Administrator is also responsible for managing and monitoring network security.   In support of enterprise’s mission, the Network Administrator strives to provide all approved users of the enterprise with uninterrupted access to network resources in all office locations, wireless, Internet and remote connectivity to the enterprise’s network.  The Network Administrator will be responsible for educating approved enterprise users and professional IT staff on the proper use of the company’s wired and wireless infrastructure.Problems and ChallengesThe Network Administrator will be responsible for a complex, state-of-the-art communication network that will be rapidly changing to support the enterprise’s growth and development of new business opportunities.  The administrator is challenged with providing a secure voice, data and network environment that is reliable, flexible, and cost effective.Essential Position FunctionsPrincipal AccountabilitiesManage/configures routers, switches and all related WAN equipment.Monitors WAN for outages and works with vendors to resolve all issues.Manages and configures hardware associated with wireless and wired LANs.",3 years,University Hospitals Birmingham,Birmingham B15,2 weeks ago
Data Analyst,"You have previous work experience as a data analyst in the property and construction industry will be beneficial, but this is not a pre-requisite.","Looking for a results-oriented developer to work on the team building the scalable, distributed Management/Administration component of our unique database. The Management/Admin Team develops the design, code, and unit tests for features to manage a distributed database, including node provisioning and configuration, elastic scale, and failure detection and recovery. The Management/Admin component provides the command-line and graphical interfaces for operators, and provides them with the capabilities to analyze, control, and manage the overall system. The ideal candidate will thrive in a fast-paced environment, have hands-on development experience with distributed systems and user-oriented component development, have worked with agile software development processes, and possess strong communications skills. Management/Admin Team Developers report to the VP of Software Development. The Management/Admin Team Developer is an individual contributor role, working within a team of talented software engineers. Being comfortable and effective working with a high level complex systems is essential. This role requires expertize with distributing computing concepts, advanced design techniques, and familiarity with distributed system testing approaches. client uses an agile development process, and has a culture that is highly communicative and accountable for development outcomes, including task estimation, delivery, and quality. Results Orientation – The ideal candidate will have demonstrated the ability to deliver completed designs, implementations and tests in high-growth software company.Collaboration  – The ideal candidate will have the ability to build strong and open working relationships (within and between teams) characterized by mutual respect. The individual will be skilled at communicating ideas and inviting and considering input. He/she will be accessible and approachable, respecting intellectual integrity and valuing individuality. Technical Background – The ideal candidate will have proven technical background of working challenging problems in distributed computing and/or database development. ",5 year,Mace,London,2 weeks ago
Project Business Analyst,Within the directorate you will work alongside project managers and system developers to drive the projects to completion.,"Comfortable with complex algorithms, object-oriented programming, enterprise design patterns, and mobile application performance and scalability * Experience in an Agile software development environment Nice to Haves * Participates in open source projects, and/or blogs about technology concerns. * Experience with a wide variety of software development applications, environments, and languages * Experience developing with Mobile Operating Systems (Android, Windows Phone) * Passion for working in the academic, professional or library markets",2 year,The Newcastle upon Tyne Hospitals NHS Foundation...,Newcastle upon Tyne NE3,6 days ago
Data Administrator,"Initially, you will work with the EDMS Manager to develop your knowledge of the system and the requirements of managing patient information to ensure that the…","This role is highly visible and the Information Technology Contracts Manager must be sales savvy, able to develop and maintain great relationships with vendors, great with negotiating complex and regulatory compliant contracts. The successful candidate must have experience working in a healthcare environment and must have experience procuring IT products and services:Prior experience working with a governmental body (state, municipal) is preferred but not required.This client will not consider candidates with a background in supply chain or manufacturing environments.",3 year,Hampshire Hospitals NHS Foundation Trust,Basingstoke RG24,2 hours ago
Project Officer - Data Sharing,"In this dynamic and varied role, you will manage and develop data access systems, processes, policies and guidance that enable responsible data reuse to…","Looking for an experienced PHP developer to join a growing team. You will be expected to have some knowledge of Magento as well as have worked in a collaborative environment.  This health and wellness company is in the process of major growth and this is an exciting time for them! If you have a passion for new technology, as well as developing meaningful code that will impact the company for years to come, this is the position for you.",4 year,University of Oxford,Oxford OX3,2 days ago
Payroll Analyst - Fully Remote,"Research, analyze and resolve payroll related problems or questions by collecting and analyzing information.
Process pay employee data (new hires, pay changes,…","Should have performed a similar role integrating information from IoT Devices and converting information to insight for action. •              Hands-on practical experience is a must. Regular demo of evolving solution to Customers and Stakeholders, build consensus working in a cross-functional team•              Should have a broad level of skillset in architecting solutions including INTEGRATION MIDDLEWARE, DATABASE & DATAWAREHOUSE, FRONT-END TECHNOLOGY & FRAMEWORK, and INFRASTRCUTURE CONSIDERATIONS.  This should include experience in delivering architecture including Micro services, API based interfaces, High-throughput systems, etc.•              Should have delivered architecture initiatives and showcased clear business efficiency in line with business strategies.  Should have taken end-end responsibility & accountability in terms of architecture. •              Should have broad domain expertise in the Medical Devices and Life Sciences domain.  •              Should have delivered architecture roadmaps and develop delivery blueprints for the technology design. ",5 year,NHS Professionals,Remote,3 days ago
Project Manager,You will ensure that each project adheres to the business project management process and are progressing to plan whilst having a high degree of autonomy to…,"Expert to assist with migration from iPlanet to  Oracle  HTTP Server OHS migration. Resource must have skills in  Weblogic, OHS security, in addition to iPlanet.",6 year,Oxford Instruments Plc,Oxford,2 days ago
Business Change Project Manager,This is a fantastic time to join the University as we embark on implementing the University’s 2030 strategic plan: Creating Better Futures.,"Execute a risk based approach/procedure/plan of design requirements/specifications, technical standards, test methods, supplier controls and manufacturing controls to the appropriate Regulations, Standards and Guidelines for the Marketing and Sales of the PROTOM Medical Device;Work closely with both internal groups (Marketing, Research, Technology, Product Development, Regulatory, Clinical and Management) and external groups (clinicians, consultants, regulatory agencies) to assess and potentially redefine or clarify system level requirements, Use-Conditions and risks for the development of the Device;Responsible for the assessment of technical standards against current DHF, labeling and technical file requirements;Responsible for the assessment of component and system level specifications relative to customer needs and product performance specifications;Perform requirements flow down analysis on critical to quality product performance specifications down to the component level;Apply Design for Reliability and Manufacturability tools and techniques to the project as appropriate;Provide effective support for multiple projects, balancing priorities and resources appropriately to meet both project and management expectations;Prepare or direct the preparation of oral and written reports as required by the project or department management;Perform required training and certifications to demonstrate compliance with applicable divisional and corporate policies in accordance with individual training matrix;Collaborate with management to ensure effective and robust risk management for products and processes;Utilize quality systems expertise by assisting in continuous improvement activities throughout the product lifecycle management considerations;Support CAPA Board meetings and assist following-up on open action items until closure;Support initiatives to ensure effective reporting of quality improvement program metrics;Ensure Regulatory compliance in area of responsibility to GMP of all medical devices regulatory agencies (i.e. FDA, IMB, Notified bodies, etc.);Perform other duties as assigned;                     ",1 year,Loughborough University,Loughborough,2 weeks ago
Junior Project Manager,Responsible for following and maintaining the formal project initiation process ensuring that project reviews are conducted and outputs are tracked and reported…,"Senior Software Business Analyst Broadridge Advisor Solutions is the fast-growing Marketing Technology business unit of Broadridge, one of the world's largest and most successful Fin-Tech companies. We're looking for a versatile Sr. Software Business Analyst to join our Boston-based product development team, building one of our most ground breaking products yet. In this position, you'll be responsible for critically analyzing, refining and documenting the requirements for this new product and communicating those requirements to team members at various levels. You will lead the product lifecycle from conception to development and delivery. To be successful, you'll need to have a blend of business and technical savvy, a systems thinking mindset, a keen awareness and curiosity of emerging technologies, pragmatic decision making skills and an ability to drive the evolving big picture into the details.Responsibilities include:* Partner with the Product Manager and project stakeholders to understand and critically evaluate requirements and translate the business needs into user stories that can be understood by the software engineers and quality assurance engineers. * Conduct comprehensive requirement gathering sessions: JAD sessions, one-on-one and group interviews for the development of both business, functional and system requirement documents. * Make recommendations for process and business flows and develop consensus on requirements to consistently bring open items to closure * Collaborate with Data Architect and Application Architect to keep all system and data architecture diagrams current and accurate * Manage change flow and traceability of requirements * Research relevant external products and technologies that may be leveraged and would need to be understood be to drive technical direction and API development * Prioritize the product backlog to align with the product vision and priorities. * Lead story review sessions and Sprint Reviews of software produced to ensure the requirements were interpreted correctly * Assist in the user interface design of the software products * Articulates requirements, and documents requirements via the approved process and templates * Develop project target landmarks and completion dates and adhere to an agreed upon schedule. ",2 years,PCI Pharma Services,Tredegar,2 hours ago
Junior Project Manager,The ideal candidate will work with the project management team to help see projects through from post-sale to completion efficiently and effectively.,"Extensive experience in use case documentation, data mapping, data analysis, test case creation, and traceability * Ability to frame communication (both written and oral) based on the audience present, including executive level. * Strong working knowledge of Microsoft Office Suite, working knowledge of relational databases structure query language (SQL) for querying and support; knowledge of application lifecycle management software such as Team Foundation Server (TFS). Technical Project Management experience preferred ",3 years,Pentest People,Leeds,2 days ago
Senior Project Manager,"We seek a highly organised and results driven individual, with excellent communication skills and strong project experience.","VB, SQL, Python, Groovy, Java, JavaScript, HTML",4 years,East Riding of Yorkshire Council,Remote in Beverley HU17,2 weeks ago
Data or GIS Analyst _ Newark,"A Bachelors’ or Masters' level degree level education in Geomatics / GIS, Data Analytics or related discipline.
Full Time (40 hours pw, Monday to Friday).","Geomatics / GIS, Data Analytics or related discipline",5 years,IBI Group,Hybrid remote in Newark-on-Trent NG24,2 weeks ago
Data Analyst,"The ideal candidate will be naturally curious, an effective problem solver and able to interpret complex calibration and wind data sets.",effective problem solver and able to interpret complex calibration and wind data sets,6 years,ZX Lidars,Ledbury HR8,2 days ago
Business and Data Analyst,"Experience of managing projects through full project lifecycle.
Knowledge of data analysis, interpretation & reporting.
25 days holiday plus bank holidays.","Experience of managing projects through full project lifecycle.
Knowledge of data analysis, interpretation & reporting.
25 days holiday plus bank holidays.",7 years,PX Limited,Stockton-on-Tees,2 weeks ago
Integrated Neighbourhood Project Manager,"Support, facilitation and delivery of integrated working improvement projects.
You will be responsible for supporting the service redesign and delivery of…","Support, facilitation and delivery of integrated working improvement projects.
You will be responsible for supporting the service redesign and delivery of…",8 years,North West Anglia NHS Foundation Trust,Peterborough PE3,2 hours ago
Project Delivery Manager,"Attend any project or portfolio board meetings as needed to represent business project delivery.
Be escalation point for project or delivery issues.","Attend any project or portfolio board meetings as needed to represent business project delivery.
Be escalation point for project or delivery issues.",9 years,National Grid,Hybrid remote in Warwick CV34,3 days ago
Junior Project Manager,"Make decisions based on lessons learned, as well as recommendations from team members close to the project.
Manage your team’s adherence to the agency workflow,…","Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing",5 years,Omnicom Health Group,London SE1,2 weeks ago
IM&T Coordinator - Data Analyst,"Creating data quality reports in SAP BI.
Providing monitoring and control of data quality issues.
Capturing key documentation in line with the data quality…","Creating data quality reports in SAP BI.
Providing monitoring and control of data quality issues.
Capturing key documentation in line with the data quality…",3 years,BAE Systems,Barrow-In-Furness,7 days ago
Credit Data Manager,"Delivery of data visualisation tool applications, such as Power BI or Tableau.
This role is part of the Insights team within Credit Risk who are based in…","Delivery of data visualisation tool applications, such as Power BI or Tableau.
This role is part of the Insights team within Credit Risk who are based in…",4 years,Bank of Ireland,Remote in England,3 hours ago
Data Input Clerk,"To identify and report to senior staff any malfunction of equipment or process.
This may require obtaining/ verifying additional/ incomplete information from…","To identify and report to senior staff any malfunction of equipment or process.
This may require obtaining/ verifying additional/ incomplete information from…",5 years,The Royal Wolverhampton NHS Trust,Wolverhampton WV10,2 days ago
Data Analyst Apprentice – Level 4 – Data,"Have an understanding or experience of data and technology, whether that be through your studies or as an outside passion for self-learning.","Have an understanding or experience of data and technology, whether that be through your studies or as an outside passion for self-learning.",6 years,Aviva,Norwich,1 day ago
Project Engineer,"Delivering projects from technical scoping, through design to project closure.
Engineering bachelor’s degree or equivalent.","Delivering projects from technical scoping, through design to project closure.
Engineering bachelor’s degree or equivalent.",7 years,Mars,Plymouth PL4,2 weeks ago
Data Analyst,"Previous experience of, or trained in the use of, data extraction or visualisation tools.
If you like working with data, have a passion for data quality and…","Previous experience of, or trained in the use of, data extraction or visualisation tools.
If you like working with data, have a passion for data quality and…",8 years,Hampshire Constabulary,Hybrid remote in Winchester,3 days ago
Project Manager,"This post supports the continued delivery of a portfolio of projects and, in time, the setup and mobilisation of new projects delivered through the Citizens…","This post supports the continued delivery of a portfolio of projects and, in time, the setup and mobilisation of new projects delivered through the Citizens…",9 years,Citizens Advice,Essex,2 weeks ago
Project Manager - Grade 8,"You will have a degree or equivalent qualification, or relevant professional experience.
We are seeking an excellent, highly motivated and well organised…","You will have a degree or equivalent qualification, or relevant professional experience.
We are seeking an excellent, highly motivated and well organised…",5+ years,University of Liverpool,Liverpool,2 days ago
Change Manager / Business Analyst,"PRINCE2 or similar project management qualification would be a bonus.
You will be responsible for developing and implementing process strategies, managing…","Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing",3 years,IEG,Remote in Guernsey,1 week ago
Market Data Analyst,"Analysts will also participate in the various strategic projects across Managed Services – robotic process automation, data visualization, advanced data…","Analysts will also participate in the various strategic projects across Managed Services – robotic process automation, data visualization, advanced data…",1 year,TRG Screen,Remote,7 days ago
People Systems and Data Manager,"You will be the lead for the people information and data function and have responsibility for providing a comprehensive, professional, high quality and…","You will be the lead for the people information and data function and have responsibility for providing a comprehensive, professional, high quality and…",5+ years,The Newcastle upon Tyne Hospitals NHS Foundation...,Newcastle upon Tyne NE3,2 days ago
Monitoring and Impact Analyst,"Excellent holiday package – 35 days annual leave with the option to buy or sell leave.
You will need be data savvy with advanced Excel as a minimum, and…","Excellent holiday package – 35 days annual leave with the option to buy or sell leave.
You will need be data savvy with advanced Excel as a minimum, and…",3+ years,Places for People,Remote,2 weeks ago
Marine Data Manager x 3,"You will provide a data management service to a diverse range of marine research projects.
You will have a degree or post-graduate qualification in physical,…","You will provide a data management service to a diverse range of marine research projects.
You will have a degree or post-graduate qualification in physical,…",5+ years,The National Oceanography Centre,Hybrid remote in Liverpool,2 weeks ago
Project Manager,Your Impact: Looking for a new role in Project Management? Keen to work for a global company that’s involved with some of the most exciting projects on the…,Your Impact: Looking for a new role in Project Management? Keen to work for a global company that’s involved with some of the most exciting projects on the…,3 years,Jacobs,Remote in Knutsford,1 week ago
Graduate Recruitment Project Manager,"Coordinate their projects to ensure implementation of the projects and report on progress with the Head of Service , to the HEE DRP Programme Board and other…","Coordinate their projects to ensure implementation of the projects and report on progress with the Head of Service , to the HEE DRP Programme Board and other…",5+ years,Guy's and St Thomas' NHS Foundation Trust,London SE1,2 weeks ago
Principal Project Manager,By leading one or more projects through all phases of the Ellucian Implementation Methodology from initiation/planning through the execution and delivery of the…,By leading one or more projects through all phases of the Ellucian Implementation Methodology from initiation/planning through the execution and delivery of the…,3 years,Ellucian,Remote,2 weeks ago
Corporate Project Manager Degree Apprentice – 36 months + EPA,"Have 5 GCSEs including Maths and English C/4 or above or equivalent.
And have 2 A levels or equivalent.
You will also be exposed to partnering teams across the…","Have 5 GCSEs including Maths and English C/4 or above or equivalent.
And have 2 A levels or equivalent.
You will also be exposed to partnering teams across the…",1 year,Amazon UK Services Ltd.,London,2 days ago
Data Engineer - Technical Analyst (#2171),"Experience in an ETL tool-preferably Ab Initio or Informatica but not essential, and or data components of the Google Cloud Platform.","Experience in an ETL tool-preferably Ab Initio or Informatica but not essential, and or data components of the Google Cloud Platform.",5+ years,Sky,Hybrid remote in Osterley,2 weeks ago
Airline Revenue Analyst,"Utilise a host of different data analysis tools and reports, including Microsoft Excel and Tableau, as well as our bespoke Revenue Management System.","Utilise a host of different data analysis tools and reports, including Microsoft Excel and Tableau, as well as our bespoke Revenue Management System.",3+ years,Jet2.com and Jet2holidays,Hybrid remote in Leeds,3 days ago
Trainee Data Analyst Newcastle,"Support with the administrative needs of the Group Data Analysis manager.
The successful candidate will provide support and assistance to the Group Data…","Analyst, Business Analyst, Business Requirements, Consulting, Development, Lifecycle, Management, MS Office, Project, Testing",5+ years,Perspective Financial Group,North East,1 week ago
International Project Manager,"Demonstrable project management experience, successfully delivering projects to the defined scope, cost and quality.","Demonstrable project management experience, successfully delivering projects to the defined scope, cost and quality.",3 years,RSK Group,Remote,2 days ago
NMV Market intelligence & Data Analysis Manager,"NWSSP is responsible for the full Procure to pay process for all Health Boards/Trusts in Wales.
The unit will align with the ministerial priorities of a…","NWSSP is responsible for the full Procure to pay process for all Health Boards/Trusts in Wales.
The unit will align with the ministerial priorities of a…",5+ years,NHS Wales Shared Services Partnership,Newport,3 days ago
SharePoint Online Project Administrator and Data Analyst,"Experience in coordinating and working on projects.
You will advise and assist the project members in the application of project procedures, disciplines and the…","Experience in coordinating and working on projects.
You will advise and assist the project members in the application of project procedures, disciplines and the…",3 years,Historic England,Hybrid remote in Swindon,3 hours ago
Assistant Project Manager,"Plan and define project steps or schedules, consistent with defined review milestones and priorities, to contribute to the design of the overall project plan.","Plan and define project steps or schedules, consistent with defined review milestones and priorities, to contribute to the design of the overall project plan.",1 year,National Highways,Bedford,6 days ago
Junior Project Co-Ordinator / Junior Project Manager,"As a project manager, you will be working with both new and existing clients.
Must have experience in delivering projects.
Not eligible for visa sponsorship.","As a project manager, you will be working with both new and existing clients.
Must have experience in delivering projects.
Not eligible for visa sponsorship.",5+ years,NimbusPoint Consulting,Leeds LS1,2 weeks ago
Data Operations Analyst,"Degree in Finance, Engineering or Technology would be preferred.
Flexible to work in shifts and/or split weekends and holidays.","Degree in Finance, Engineering or Technology would be preferred.
Flexible to work in shifts and/or split weekends and holidays.",3+ years,BlackRock,Hybrid remote in Edinburgh,3 days ago
